Date,Close,Open,Low,High,Volume
30/01/2014,403.01,393.77,387.7,406.25,"10,900,116"
31/01/2014,358.69,371.76,357.76,375.45,"16,181,519"
03/02/2014,346.15,358.98,340.1,360.85,"10,290,934"
04/02/2014,347.95,349.59,344.02,353.9975,"4,821,177"
05/02/2014,346.45,346,337.73,349.37,"4,439,010"
06/02/2014,354.59,347.403,347.403,354.82,"3,340,542"
07/02/2014,361.08,358.98,352.49,361.8,"4,347,189"
10/02/2014,360.87,361.61,359.35,365,"3,451,093"
11/02/2014,361.79,361.842,356.25,363.61,"3,225,200"
12/02/2014,349.25,356.43,346.32,357.75,"6,599,199"
13/02/2014,357.20,347.7,346.5,357.2,"4,181,445"
14/02/2014,357.35,359.34,353.35,359.34,"3,524,570"
18/02/2014,353.65,355.28,349.45,355.73,"5,000,493"
19/02/2014,347.38,352.64,346.1,354.54,"4,175,393"
20/02/2014,349.80,348.8,344.38,350.46,"3,496,663"
21/02/2014,346.76,352.44,346.75,354.141,"4,212,144"
24/02/2014,351.78,345.19,343.29,353,"3,647,182"
25/02/2014,358.32,353,351.58,361.08,"3,747,076"
26/02/2014,359.80,359.86,357.17,364.75,"3,622,506"
27/02/2014,360.13,357.22,355.5,360.59,"3,105,442"
28/02/2014,362.10,360.6,357.084,365.865,"3,885,207"
03/03/2014,359.78,358.735,354.48,360.96,"2,804,261"
04/03/2014,363.90,363.9,362.46,365.68,"2,706,843"
05/03/2014,372.37,364.13,363.9,372.728,"3,862,706"
06/03/2014,372.16,374.05,368.9,375.33,"2,927,497"
07/03/2014,372.06,374.58,369.531,374.99,"2,280,358"
10/03/2014,370.53,372.69,367,372.73,"2,107,820"
11/03/2014,368.82,370.99,367.28,372.8,"2,248,019"
12/03/2014,370.64,366.4,363.61,371.16,"2,219,663"
13/03/2014,371.51,376.62,368.08,383.11,"6,829,047"
14/03/2014,373.74,372.8,371.55,378.568,"4,402,220"
17/03/2014,375.04,375.72,374.88,378.85,"2,306,821"
18/03/2014,378.77,377.32,375,379,"2,483,508"
19/03/2014,373.23,378.77,369.42,379,"2,646,687"
20/03/2014,368.97,370.64,366.22,373,"2,558,460"
21/03/2014,360.62,371,358.4,372.84,"5,417,935"
24/03/2014,351.85,360.09,348.6,361.5,"4,879,627"
25/03/2014,354.71,354.03,348.84,358.97,"4,455,703"
26/03/2014,343.41,357.13,343.4,357.6,"4,120,665"
27/03/2014,338.47,343.15,330.88,343.9999,"5,770,462"
28/03/2014,338.29,340.05,336.08,347,"3,986,782"
31/03/2014,336.37,342.4,334.06,346.29,"4,297,487"
01/04/2014,342.99,338.09,338,344.43,"3,602,899"
02/04/2014,341.96,345.99,340.38,348.295,"4,475,523"
03/04/2014,333.62,341.82,328.46,342.5,"6,399,299"
04/04/2014,323.00,335.15,315.61,335.44,"12,534,578"
07/04/2014,317.76,320.99,313.13,324.94,"7,077,360"
08/04/2014,327.07,321.88,318.44,328,"6,585,583"
09/04/2014,331.81,328.47,322.5,332.18,"5,058,664"
10/04/2014,317.11,330.6,316.5,331,"6,133,376"
11/04/2014,311.73,314,309.5,316.5,"7,292,028"
14/04/2014,315.91,317.67,311.28,320.48,"4,293,532"
15/04/2014,316.08,316.7,305.5,318.28,"5,399,337"
16/04/2014,323.68,321.17,314.71,324,"4,285,901"
17/04/2014,324.91,319.76,319.76,328.66,"4,300,378"
21/04/2014,330.87,323.97,322.31,331.1499,"3,000,598"
22/04/2014,329.32,332,328.94,337.5,"3,714,288"
23/04/2014,324.58,333.06,323.39,333.13,"3,604,586"
24/04/2014,337.15,329.67,322.95,337.4,"9,293,735"
25/04/2014,303.83,316.25,302.71,316.49,"16,186,737"
28/04/2014,296.58,304,288,304.39,"14,479,803"
29/04/2014,300.38,296.44,290.45,301.84,"6,510,591"
30/04/2014,304.13,298.1,298.1,304.56,"4,090,006"
01/05/2014,307.89,304.13,304,310.48,"4,329,167"
02/05/2014,308.01,310.42,304.31,313.29,"3,995,218"
05/05/2014,310.05,306.37,305,310.23,"2,520,300"
06/05/2014,297.38,309.53,297.04,309.81,"4,682,327"
07/05/2014,292.71,295.56,286.68,296.4,"7,016,937"
08/05/2014,288.32,290.82,287.23,295.8784,"3,848,996"
09/05/2014,292.24,290.57,284.38,293.68,"4,062,984"
12/05/2014,302.86,294.3,294.16,303.34,"3,735,443"
13/05/2014,304.64,302.6,300.75,305.6,"3,509,937"
14/05/2014,297.62,302.5,296.66,304.64,"3,328,414"
15/05/2014,295.19,298.02,290.38,299.2,"4,299,530"
16/05/2014,297.70,292.8,291.55,298.88,"3,637,649"
19/05/2014,296.76,295.76,293.81,299,"2,286,313"
20/05/2014,301.19,297.1,296.75,304.46,"4,096,308"
21/05/2014,305.01,302.21,301.5201,305.96,"3,409,200"
22/05/2014,304.91,305.05,303.01,308.54,"2,576,888"
23/05/2014,312.24,305.46,304.9,312.35,"3,055,997"
27/05/2014,310.82,314.41,307.38,314.6296,"4,864,163"
28/05/2014,310.16,309.5,307.42,313.82,"2,726,803"
29/05/2014,313.78,310.42,310.2,314.87,"2,365,679"
30/05/2014,312.55,314.43,307.57,314.65,"4,260,624"
